t_wall,drone,x,y,z,vx,vy,vz,vcmd_x,vcmd_y,vcmd_z,cmd_is_pos,cmd_age_s
1783579668.5520,0,-17.3083,-7.0222,-4.9696,0.6492,-0.6992,-0.0354,0.6654,-0.6804,-0.0313,0,0.0101
1783579668.5524,3,-17.2265,-7.1128,-4.1827,0.7237,-0.7436,-0.0286,0.7270,-0.6988,-0.0224,0,0.0007
1783579668.5562,1,-17.4227,-6.9156,-3.9876,0.6781,-0.7328,-0.0317,0.6936,-0.6754,-0.0325,0,0.0001
1783579668.5563,2,-17.4076,-7.2117,-3.9049,0.7133,-0.7856,0.0408,0.7225,-0.7229,0.0309,0,0.0103
1783579668.5563,4,-17.5374,-6.7983,-3.7788,0.7237,-0.7662,-0.0130,0.7390,-0.7230,-0.0301,0,0.0105
1783579668.5604,3,-17.2206,-7.1192,-4.1829,0.7241,-0.7431,-0.0283,0.7270,-0.6988,-0.0224,0,0.0086
1783579668.5605,0,-17.3035,-7.0276,-4.9701,0.6496,-0.6988,-0.0355,0.6654,-0.6804,-0.0313,0,0.0186
1783579668.5641,1,-17.4177,-6.9213,-3.9878,0.6786,-0.7319,-0.0320,0.6936,-0.6754,-0.0325,0,0.0080
1783579668.5642,2,-17.4013,-7.2181,-3.9045,0.7140,-0.7848,0.0405,0.7225,-0.7229,0.0309,0,0.0183
1783579668.5642,4,-17.5313,-6.8047,-3.7783,0.7245,-0.7657,-0.0138,0.7390,-0.7230,-0.0301,0,0.0184
1783579668.5680,0,-17.2986,-7.0331,-4.9706,0.6500,-0.6984,-0.0356,0.6676,-0.6805,-0.0299,0,0.0064
1783579668.5681,3,-17.2148,-7.1256,-4.1831,0.7245,-0.7426,-0.0280,0.7270,-0.6988,-0.0224,0,0.0163
1783579668.5722,2,-17.3951,-7.2245,-3.9041,0.7147,-0.7840,0.0402,0.7242,-0.7218,0.0298,0,0.0052
1783579668.5723,1,-17.4127,-6.9270,-3.9879,0.6790,-0.7309,-0.0322,0.6936,-0.6754,-0.0325,0,0.0162
1783579668.5723,4,-17.5252,-6.8111,-3.7778,0.7252,-0.7653,-0.0147,0.7396,-0.7203,-0.0316,0,0.0066
1783579668.5762,0,-17.2938,-7.0385,-4.9710,0.6504,-0.6980,-0.0357,0.6676,-0.6805,-0.0299,0,0.0146
1783579668.5762,3,-17.2090,-7.1319,-4.1833,0.7249,-0.7420,-0.0278,0.7271,-0.6959,-0.0218,0,0.0044
1783579668.5802,2,-17.3888,-7.2309,-3.9037,0.7154,-0.7832,0.0399,0.7242,-0.7218,0.0298,0,0.0132
1783579668.5802,4,-17.5191,-6.8175,-3.7774,0.7259,-0.7648,-0.0156,0.7396,-0.7203,-0.0316,0,0.0145
1783579668.5803,1,-17.4077,-6.9326,-3.9881,0.6795,-0.7300,-0.0324,0.6947,-0.6721,-0.0319,0,0.0042
1783579668.5841,0,-17.2889,-7.0440,-4.9715,0.6508,-0.6976,-0.0358,0.6688,-0.6787,-0.0290,0,0.0013
1783579668.5842,3,-17.2031,-7.1382,-4.1835,0.7253,-0.7415,-0.0276,0.7271,-0.6959,-0.0218,0,0.0124
1783579668.5883,2,-17.3826,-7.2374,-3.9041,0.7161,-0.7824,0.0394,0.7247,-0.7183,0.0290,0,0.0026
1783579668.5884,1,-17.4026,-6.9383,-3.9883,0.6800,-0.7290,-0.0327,0.6947,-0.6721,-0.0319,0,0.0123
1783579668.5884,4,-17.5131,-6.8239,-3.7770,0.7266,-0.7643,-0.0165,0.7415,-0.7197,-0.0325,0,0.0020
1783579668.5925,0,-17.2840,-7.0494,-4.9719,0.6512,-0.6973,-0.0358,0.6688,-0.6787,-0.0290,0,0.0097
1783579668.5926,3,-17.1973,-7.1446,-4.1837,0.7257,-0.7410,-0.0274,0.7287,-0.6953,-0.0214,0,0.0005
1783579668.5961,1,-17.3976,-6.9439,-3.9885,0.6804,-0.7281,-0.0329,0.6968,-0.6713,-0.0316,0,0.0001
1783579668.5962,2,-17.3765,-7.2439,-3.9045,0.7167,-0.7816,0.0388,0.7247,-0.7183,0.0290,0,0.0105
1783579668.5962,4,-17.5070,-6.8303,-3.7766,0.7273,-0.7638,-0.0173,0.7415,-0.7197,-0.0325,0,0.0098
1783579668.6002,0,-17.2791,-7.0548,-4.9724,0.6516,-0.6969,-0.0359,0.6688,-0.6787,-0.0290,0,0.0173
1783579668.6003,3,-17.1915,-7.1509,-4.1839,0.7261,-0.7404,-0.0271,0.7287,-0.6953,-0.0214,0,0.0081
1783579668.6042,1,-17.3925,-6.9496,-3.9887,0.6809,-0.7271,-0.0330,0.6968,-0.6713,-0.0316,0,0.0082
1783579668.6043,2,-17.3703,-7.2503,-3.9049,0.7173,-0.7808,0.0383,0.7247,-0.7183,0.0290,0,0.0186
1783579668.6043,4,-17.5009,-6.8367,-3.7762,0.7280,-0.7633,-0.0182,0.7415,-0.7197,-0.0325,0,0.0179
1783579668.6082,0,-17.2742,-7.0603,-4.9729,0.6520,-0.6966,-0.0358,0.6710,-0.6789,-0.0276,0,0.0065
1783579668.6083,3,-17.1856,-7.1572,-4.1841,0.7265,-0.7399,-0.0269,0.7287,-0.6953,-0.0214,0,0.0162
1783579668.6122,1,-17.3875,-6.9552,-3.9889,0.6814,-0.7262,-0.0332,0.6968,-0.6713,-0.0316,0,0.0162
1783579668.6123,2,-17.3642,-7.2568,-3.9052,0.7179,-0.7800,0.0378,0.7264,-0.7171,0.0302,0,0.0064
1783579668.6123,4,-17.4948,-6.8430,-3.7759,0.7287,-0.7628,-0.0190,0.7434,-0.7191,-0.0337,0,0.0070
1783579668.6162,3,-17.1798,-7.1634,-4.1843,0.7269,-0.7393,-0.0267,0.7288,-0.6924,-0.0208,0,0.0045
1783579668.6163,0,-17.2693,-7.0657,-4.9733,0.6524,-0.6962,-0.0358,0.6710,-0.6789,-0.0276,0,0.0146
1783579668.6202,1,-17.3824,-6.9609,-3.9892,0.6819,-0.7253,-0.0334,0.6979,-0.6681,-0.0310,0,0.0038
1783579668.6202,2,-17.3581,-7.2633,-3.9055,0.7184,-0.7792,0.0373,0.7264,-0.7171,0.0302,0,0.0144
1783579668.6203,4,-17.4887,-6.8494,-3.7756,0.7294,-0.7623,-0.0199,0.7434,-0.7191,-0.0337,0,0.0150
1783579668.6244,0,-17.2644,-7.0712,-4.9737,0.6529,-0.6959,-0.0357,0.6720,-0.6772,-0.0267,0,0.0028
1783579668.6245,3,-17.1740,-7.1697,-4.1845,0.7273,-0.7388,-0.0265,0.7288,-0.6924,-0.0208,0,0.0128
1783579668.6283,1,-17.3772,-6.9669,-3.9896,0.6824,-0.7245,-0.0336,0.6979,-0.6681,-0.0310,0,0.0119
1783579668.6283,2,-17.3519,-7.2697,-3.9058,0.7190,-0.7785,0.0368,0.7268,-0.7135,0.0308,0,0.0032
1783579668.6284,4,-17.4819,-6.8554,-3.7756,0.7304,-0.7616,-0.0208,0.7440,-0.7162,-0.0343,0,0.0036
1783579668.6322,0,-17.2594,-7.0766,-4.9742,0.6533,-0.6955,-0.0356,0.6720,-0.6772,-0.0267,0,0.0106
1783579668.6323,3,-17.1681,-7.1760,-4.1847,0.7277,-0.7383,-0.0263,0.7305,-0.6918,-0.0204,0,0.0003
1783579668.6362,2,-17.3458,-7.2761,-3.9061,0.7196,-0.7777,0.0363,0.7268,-0.7135,0.0308,0,0.0111
1783579668.6363,1,-17.3720,-6.9729,-3.9901,0.6829,-0.7238,-0.0338,0.7000,-0.6673,-0.0303,0,0.0006
1783579668.6363,4,-17.4750,-6.8615,-3.7757,0.7313,-0.7609,-0.0218,0.7440,-0.7162,-0.0343,0,0.0116
1783579668.6403,0,-17.2545,-7.0821,-4.9746,0.6537,-0.6952,-0.0355,0.6720,-0.6772,-0.0267,0,0.0186
1783579668.6403,3,-17.1623,-7.1822,-4.1849,0.7281,-0.7377,-0.0261,0.7305,-0.6918,-0.0204,0,0.0084
1783579668.6443,2,-17.3397,-7.2826,-3.9064,0.7202,-0.7769,0.0359,0.7268,-0.7135,0.0308,0,0.0192
1783579668.6444,4,-17.4682,-6.8676,-3.7758,0.7322,-0.7602,-0.0227,0.7440,-0.7162,-0.0343,0,0.0196
1783579668.6446,1,-17.3668,-6.9789,-3.9905,0.6834,-0.7230,-0.0341,0.7000,-0.6673,-0.0303,0,0.0089
1783579668.6483,3,-17.1565,-7.1884,-4.1851,0.7285,-0.7372,-0.0259,0.7305,-0.6918,-0.0204,0,0.0163
1783579668.6485,0,-17.2495,-7.0875,-4.9751,0.6541,-0.6949,-0.0354,0.6743,-0.6774,-0.0254,0,0.0069
1783579668.6522,1,-17.3616,-6.9849,-3.9910,0.6840,-0.7222,-0.0343,0.7000,-0.6673,-0.0303,0,0.0166
1783579668.6523,2,-17.3336,-7.2890,-3.9067,0.7207,-0.7761,0.0355,0.7285,-0.7124,0.0317,0,0.0061
1783579668.6523,4,-17.4614,-6.8736,-3.7759,0.7330,-0.7595,-0.0236,0.7457,-0.7155,-0.0341,0,0.0070
1783579668.6562,0,-17.2446,-7.0930,-4.9755,0.6546,-0.6945,-0.0352,0.6743,-0.6774,-0.0254,0,0.0146
1783579668.6563,3,-17.1506,-7.1946,-4.1853,0.7289,-0.7367,-0.0257,0.7306,-0.6890,-0.0198,0,0.0044
1783579668.6604,1,-17.3564,-6.9909,-3.9914,0.6845,-0.7215,-0.0344,0.7011,-0.6641,-0.0289,0,0.0048
1783579668.6605,2,-17.3275,-7.2954,-3.9069,0.7213,-0.7753,0.0352,0.7285,-0.7124,0.0317,0,0.0142
1783579668.6605,4,-17.4546,-6.8797,-3.7760,0.7339,-0.7588,-0.0245,0.7457,-0.7155,-0.0341,0,0.0152
1783579668.6646,3,-17.1452,-7.2007,-4.1858,0.7292,-0.7361,-0.0256,0.7306,-0.6890,-0.0198,0,0.0126
1783579668.6648,0,-17.2394,-7.0988,-4.9768,0.6550,-0.6943,-0.0353,0.6753,-0.6757,-0.0245,0,0.0029
1783579668.6686,1,-17.3512,-6.9969,-3.9918,0.6851,-0.7208,-0.0346,0.7011,-0.6641,-0.0289,0,0.0129
1783579668.6686,2,-17.3214,-7.3018,-3.9072,0.7218,-0.7745,0.0349,0.7288,-0.7088,0.0322,0,0.0029
1783579668.6687,4,-17.4479,-6.8857,-3.7762,0.7348,-0.7581,-0.0254,0.7461,-0.7125,-0.0339,0,0.0033
1783579668.6724,0,-17.2343,-7.1045,-4.9781,0.6554,-0.6942,-0.0354,0.6753,-0.6757,-0.0245,0,0.0105
1783579668.6729,3,-17.1397,-7.2068,-4.1863,0.7295,-0.7356,-0.0255,0.7323,-0.6884,-0.0191,0,0.0008
1783579668.6764,2,-17.3153,-7.3081,-3.9074,0.7223,-0.7737,0.0346,0.7288,-0.7088,0.0322,0,0.0107
1783579668.6766,1,-17.3459,-7.0029,-3.9923,0.6856,-0.7200,-0.0347,0.7032,-0.6634,-0.0281,0,0.0003
1783579668.6766,4,-17.4411,-6.8918,-3.7763,0.7356,-0.7574,-0.0262,0.7461,-0.7125,-0.0339,0,0.0112
1783579668.6805,3,-17.1342,-7.2128,-4.1868,0.7299,-0.7351,-0.0254,0.7323,-0.6884,-0.0191,0,0.0085
1783579668.6808,0,-17.2291,-7.1103,-4.9794,0.6559,-0.6940,-0.0354,0.6775,-0.6760,-0.0219,0,0.0000
1783579668.6845,1,-17.3407,-7.0088,-3.9927,0.6861,-0.7193,-0.0348,0.7032,-0.6634,-0.0281,0,0.0082
1783579668.6847,4,-17.4344,-6.8978,-3.7765,0.7365,-0.7567,-0.0270,0.7461,-0.7125,-0.0339,0,0.0193
1783579668.6848,2,-17.3092,-7.3145,-3.9076,0.7229,-0.7728,0.0344,0.7288,-0.7088,0.0322,0,0.0191
1783579668.6885,0,-17.2239,-7.1160,-4.9806,0.6563,-0.6938,-0.0354,0.6775,-0.6760,-0.0219,0,0.0078
1783579668.6887,3,-17.1287,-7.2189,-4.1872,0.7302,-0.7345,-0.0253,0.7323,-0.6884,-0.0191,0,0.0167
1783579668.6924,2,-17.3031,-7.3209,-3.9078,0.7234,-0.7720,0.0343,0.7305,-0.7077,0.0329,0,0.0064
1783579668.6926,1,-17.3354,-7.0147,-3.9932,0.6867,-0.7185,-0.0349,0.7032,-0.6634,-0.0281,0,0.0163
1783579668.6926,4,-17.4277,-6.9038,-3.7767,0.7373,-0.7560,-0.0277,0.7478,-0.7117,-0.0334,0,0.0069
1783579668.6964,3,-17.1232,-7.2249,-4.1877,0.7305,-0.7340,-0.0252,0.7325,-0.6858,-0.0177,0,0.0044
1783579668.6966,0,-17.2187,-7.1218,-4.9819,0.6567,-0.6936,-0.0354,0.6775,-0.6760,-0.0219,0,0.0159
1783579668.7004,1,-17.3301,-7.0207,-3.9936,0.6872,-0.7178,-0.0349,0.7043,-0.6603,-0.0267,0,0.0044
1783579668.7005,4,-17.4210,-6.9099,-3.7769,0.7381,-0.7552,-0.0284,0.7478,-0.7117,-0.0334,0,0.0147
1783579668.7006,2,-17.2971,-7.3272,-3.9079,0.7239,-0.7712,0.0341,0.7305,-0.7077,0.0329,0,0.0146
1783579668.7045,3,-17.1176,-7.2310,-4.1882,0.7308,-0.7335,-0.0251,0.7325,-0.6858,-0.0177,0,0.0125
1783579668.7047,0,-17.2136,-7.1275,-4.9830,0.6572,-0.6934,-0.0354,0.6784,-0.6743,-0.0181,0,0.0027
1783579668.7086,4,-17.4143,-6.9159,-3.7770,0.7389,-0.7545,-0.0291,0.7482,-0.7087,-0.0330,0,0.0030
1783579668.7089,1,-17.3249,-7.0266,-3.9940,0.6878,-0.7170,-0.0349,0.7043,-0.6603,-0.0267,0,0.0128
1783579668.7089,2,-17.2920,-7.3339,-3.9081,0.7241,-0.7705,0.0340,0.7308,-0.7042,0.0332,0,0.0032
1783579668.7125,0,-17.2084,-7.1333,-4.9842,0.6576,-0.6932,-0.0353,0.6784,-0.6743,-0.0181,0,0.0106
1783579668.7126,3,-17.1121,-7.2370,-4.1886,0.7311,-0.7329,-0.0250,0.7342,-0.6853,-0.0168,0,0.0006
1783579668.7167,1,-17.3196,-7.0325,-3.9945,0.6883,-0.7163,-0.0349,0.7064,-0.6596,-0.0259,0,0.0006
1783579668.7168,2,-17.2869,-7.3405,-3.9083,0.7242,-0.7698,0.0339,0.7308,-0.7042,0.0332,0,0.0110
1783579668.7168,4,-17.4076,-6.9219,-3.7772,0.7397,-0.7538,-0.0297,0.7482,-0.7087,-0.0330,0,0.0112
1783579668.7205,0,-17.2032,-7.1390,-4.9854,0.6581,-0.6930,-0.0351,0.6784,-0.6743,-0.0181,0,0.0186
1783579668.7206,3,-17.1066,-7.2430,-4.1891,0.7314,-0.7324,-0.0249,0.7342,-0.6853,-0.0168,0,0.0086
1783579668.7246,2,-17.2818,-7.3471,-3.9085,0.7243,-0.7691,0.0338,0.7308,-0.7042,0.0332,0,0.0188
1783579668.7247,1,-17.3143,-7.0384,-3.9949,0.6889,-0.7156,-0.0348,0.7064,-0.6596,-0.0259,0,0.0086
1783579668.7248,4,-17.4010,-6.9279,-3.7774,0.7405,-0.7531,-0.0303,0.7482,-0.7087,-0.0330,0,0.0192
1783579668.7286,0,-17.1980,-7.1447,-4.9865,0.6586,-0.6928,-0.0349,0.6806,-0.6745,-0.0146,0,0.0063
1783579668.7288,3,-17.1010,-7.2491,-4.1895,0.7317,-0.7318,-0.0247,0.7342,-0.6853,-0.0168,0,0.0168
1783579668.7327,1,-17.3089,-7.0443,-3.9953,0.6894,-0.7148,-0.0347,0.7064,-0.6596,-0.0259,0,0.0167
1783579668.7328,2,-17.2767,-7.3538,-3.9086,0.7245,-0.7684,0.0337,0.7325,-0.7030,0.0336,0,0.0079
1783579668.7328,4,-17.3943,-6.9339,-3.7777,0.7412,-0.7524,-0.0308,0.7499,-0.7079,-0.0325,0,0.0078
1783579668.7366,0,-17.1928,-7.1505,-4.9876,0.6590,-0.6926,-0.0346,0.6806,-0.6745,-0.0146,0,0.0143
1783579668.7367,3,-17.0954,-7.2551,-4.1900,0.7321,-0.7313,-0.0245,0.7345,-0.6826,-0.0154,0,0.0041
1783579668.7406,4,-17.3877,-6.9399,-3.7779,0.7420,-0.7517,-0.0313,0.7499,-0.7079,-0.0325,0,0.0155
1783579668.7407,1,-17.3036,-7.0501,-3.9957,0.6899,-0.7141,-0.0345,0.7074,-0.6565,-0.0246,0,0.0050
1783579668.7408,2,-17.2716,-7.3604,-3.9088,0.7246,-0.7676,0.0337,0.7325,-0.7030,0.0336,0,0.0159
1783579668.7450,0,-17.1876,-7.1562,-4.9887,0.6595,-0.6924,-0.0343,0.6816,-0.6728,-0.0124,0,0.0025
1783579668.7450,3,-17.0899,-7.2611,-4.1904,0.7324,-0.7307,-0.0243,0.7345,-0.6826,-0.0154,0,0.0124
1783579668.7486,1,-17.2983,-7.0560,-3.9961,0.6905,-0.7133,-0.0344,0.7074,-0.6565,-0.0246,0,0.0130
1783579668.7488,2,-17.2664,-7.3669,-3.9089,0.7248,-0.7669,0.0337,0.7328,-0.6994,0.0341,0,0.0035
1783579668.7488,4,-17.3813,-6.9458,-3.7772,0.7426,-0.7509,-0.0314,0.7502,-0.7049,-0.0320,0,0.0041
1783579668.7527,0,-17.1824,-7.1619,-4.9897,0.6600,-0.6922,-0.0338,0.6816,-0.6728,-0.0124,0,0.0102
1783579668.7528,3,-17.0843,-7.2671,-4.1908,0.7327,-0.7301,-0.0241,0.7362,-0.6820,-0.0145,0,0.0011
1783579668.7566,1,-17.2923,-7.0614,-3.9964,0.6913,-0.7125,-0.0341,0.7096,-0.6559,-0.0237,0,0.0007
1783579668.7568,2,-17.2613,-7.3735,-3.9090,0.7250,-0.7662,0.0337,0.7328,-0.6994,0.0341,0,0.0115
1783579668.7569,4,-17.3748,-6.9516,-3.7765,0.7432,-0.7501,-0.0315,0.7502,-0.7049,-0.0320,0,0.0121
1783579668.7607,0,-17.1772,-7.1676,-4.9908,0.6605,-0.6920,-0.0333,0.6816,-0.6728,-0.0124,0,0.0183
1783579668.7608,3,-17.0787,-7.2730,-4.1912,0.7331,-0.7296,-0.0239,0.7362,-0.6820,-0.0145,0,0.0091
1783579668.7649,1,-17.2863,-7.0668,-3.9966,0.6921,-0.7116,-0.0339,0.7096,-0.6559,-0.0237,0,0.0090
1783579668.7649,2,-17.2561,-7.3800,-3.9091,0.7251,-0.7654,0.0337,0.7328,-0.6994,0.0341,0,0.0197
1783579668.7650,4,-17.3684,-6.9575,-3.7758,0.7439,-0.7493,-0.0316,0.7518,-0.7040,-0.0334,0,0.0002
1783579668.7689,0,-17.1720,-7.1733,-4.9918,0.6610,-0.6918,-0.0328,0.6839,-0.6731,-0.0092,0,0.0070
1783579668.7690,3,-17.0731,-7.2790,-4.1917,0.7334,-0.7290,-0.0236,0.7362,-0.6820,-0.0145,0,0.0173
1783579668.7728,2,-17.2509,-7.3866,-3.9091,0.7253,-0.7647,0.0337,0.7345,-0.6982,0.0343,0,0.0077
1783579668.7728,4,-17.3620,-6.9634,-3.7752,0.7445,-0.7485,-0.0317,0.7518,-0.7040,-0.0334,0,0.0081
1783579668.7729,1,-17.2804,-7.0722,-3.9968,0.6929,-0.7107,-0.0336,0.7096,-0.6559,-0.0237,0,0.0170
1783579668.7770,3,-17.0675,-7.2850,-4.1921,0.7337,-0.7284,-0.0233,0.7364,-0.6793,-0.0133,0,0.0049
1783579668.7771,0,-17.1668,-7.1790,-4.9927,0.6615,-0.6916,-0.0322,0.6839,-0.6731,-0.0092,0,0.0153
1783579668.7810,2,-17.2457,-7.3931,-3.9092,0.7255,-0.7639,0.0338,0.7345,-0.6982,0.0343,0,0.0159
1783579668.7811,1,-17.2744,-7.0776,-3.9971,0.6936,-0.7098,-0.0333,0.7106,-0.6529,-0.0231,0,0.0055
1783579668.7812,4,-17.3556,-6.9692,-3.7746,0.7451,-0.7477,-0.0317,0.7518,-0.7040,-0.0334,0,0.0164
1783579668.7852,3,-17.0618,-7.2913,-4.1924,0.7341,-0.7280,-0.0230,0.7364,-0.6793,-0.0133,0,0.0131
1783579668.7854,0,-17.1616,-7.1847,-4.9937,0.6620,-0.6913,-0.0315,0.6848,-0.6713,-0.0073,0,0.0040
1783579668.7854,4,-17.3492,-6.9751,-3.7740,0.7456,-0.7469,-0.0317,0.7519,-0.7009,-0.0353,0,0.0002
1783579668.7889,2,-17.2404,-7.3996,-3.9093,0.7257,-0.7632,0.0338,0.7348,-0.6946,0.0345,0,0.0034
1783579668.7891,1,-17.2684,-7.0830,-3.9973,0.6944,-0.7090,-0.0330,0.7106,-0.6529,-0.0231,0,0.0134
1783579668.7928,3,-17.0561,-7.2976,-4.1927,0.7344,-0.7275,-0.0227,0.7382,-0.6787,-0.0126,0,0.0011
1783579668.7932,0,-17.1569,-7.1903,-4.9942,0.6623,-0.6911,-0.0305,0.6848,-0.6713,-0.0073,0,0.0118
1783579668.7968,1,-17.2625,-7.0884,-3.9975,0.6952,-0.7081,-0.0326,0.7127,-0.6523,-0.0226,0,0.0008
1783579668.7970,2,-17.2352,-7.4060,-3.9093,0.7259,-0.7624,0.0339,0.7348,-0.6946,0.0345,0,0.0114
1783579668.7970,4,-17.3428,-6.9809,-3.7734,0.7462,-0.7462,-0.0318,0.7519,-0.7009,-0.0353,0,0.0118
1783579668.8010,3,-17.0504,-7.3038,-4.1930,0.7348,-0.7271,-0.0224,0.7382,-0.6787,-0.0126,0,0.0093
1783579668.8011,0,-17.1522,-7.1958,-4.9946,0.6626,-0.6908,-0.0295,0.6848,-0.6713,-0.0073,0,0.0198
1783579668.8049,1,-17.2565,-7.0937,-3.9978,0.6959,-0.7072,-0.0323,0.7127,-0.6523,-0.0226,0,0.0088
1783579668.8051,2,-17.2299,-7.4125,-3.9093,0.7261,-0.7617,0.0340,0.7365,-0.6934,0.0346,0,0.0000
1783579668.8052,4,-17.3364,-6.9868,-3.7729,0.7468,-0.7454,-0.0318,0.7519,-0.7009,-0.0353,0,0.0199
1783579668.8090,0,-17.1474,-7.2014,-4.9951,0.6629,-0.6906,-0.0284,0.6871,-0.6715,-0.0058,0,0.0077
1783579668.8092,3,-17.0447,-7.3101,-4.1932,0.7351,-0.7266,-0.0220,0.7382,-0.6787,-0.0126,0,0.0175
1783579668.8129,4,-17.3301,-6.9926,-3.7724,0.7474,-0.7446,-0.0319,0.7535,-0.7001,-0.0365,0,0.0076
1783579668.8131,1,-17.2506,-7.0991,-3.9980,0.6967,-0.7064,-0.0319,0.7127,-0.6523,-0.0226,0,0.0171
1783579668.8132,2,-17.2247,-7.4189,-3.9093,0.7263,-0.7609,0.0341,0.7365,-0.6934,0.0346,0,0.0081
1783579668.8169,0,-17.1427,-7.2070,-4.9955,0.6632,-0.6903,-0.0273,0.6871,-0.6715,-0.0058,0,0.0155
1783579668.8173,3,-17.0390,-7.3163,-4.1935,0.7355,-0.7261,-0.0216,0.7384,-0.6760,-0.0117,0,0.0052
1783579668.8215,1,-17.2446,-7.1045,-3.9982,0.6974,-0.7055,-0.0316,0.7137,-0.6494,-0.0219,0,0.0054
1783579668.8217,2,-17.2194,-7.4254,-3.9093,0.7265,-0.7601,0.0342,0.7365,-0.6934,0.0346,0,0.0166
1783579668.8217,4,-17.3237,-6.9984,-3.7719,0.7479,-0.7438,-0.0320,0.7535,-0.7001,-0.0365,0,0.0165
1783579668.8254,0,-17.1379,-7.2125,-4.9959,0.6635,-0.6901,-0.0262,0.6882,-0.6698,-0.0045,0,0.0042
1783579668.8256,3,-17.0333,-7.3226,-4.1938,0.7358,-0.7257,-0.0212,0.7384,-0.6760,-0.0117,0,0.0136
1783579668.8293,1,-17.2387,-7.1099,-3.9984,0.6982,-0.7046,-0.0312,0.7137,-0.6494,-0.0219,0,0.0132
1783579668.8295,4,-17.3174,-7.0043,-3.7715,0.7485,-0.7431,-0.0322,0.7536,-0.6970,-0.0380,0,0.0047
1783579668.8299,2,-17.2141,-7.4318,-3.9093,0.7268,-0.7593,0.0343,0.7368,-0.6898,0.0346,0,0.0050
1783579668.8334,0,-17.1332,-7.2181,-4.9963,0.6639,-0.6898,-0.0251,0.6882,-0.6698,-0.0045,0,0.0123
1783579668.8337,3,-17.0276,-7.3288,-4.1941,0.7362,-0.7252,-0.0209,0.7401,-0.6754,-0.0111,0,0.0018
1783579668.8375,1,-17.2327,-7.1153,-3.9987,0.6989,-0.7038,-0.0309,0.7158,-0.6488,-0.0215,0,0.0017
1783579668.8378,2,-17.2083,-7.4385,-3.9090,0.7272,-0.7587,0.0345,0.7368,-0.6898,0.0346,0,0.0129
1783579668.8380,4,-17.3110,-7.0101,-3.7711,0.7490,-0.7423,-0.0324,0.7536,-0.6970,-0.0380,0,0.0132
1783579668.8416,0,-17.1284,-7.2237,-4.9967,0.6642,-0.6896,-0.0240,0.6905,-0.6700,-0.0037,0,0.0001
1783579668.8418,3,-17.0219,-7.3350,-4.1943,0.7366,-0.7247,-0.0205,0.7401,-0.6754,-0.0111,0,0.0099
1783579668.8454,1,-17.2268,-7.1207,-3.9989,0.6997,-0.7029,-0.0305,0.7158,-0.6488,-0.0215,0,0.0096
1783579668.8455,2,-17.2025,-7.4453,-3.9087,0.7277,-0.7580,0.0347,0.7386,-0.6886,0.0343,0,0.0003
1783579668.8455,4,-17.3047,-7.0159,-3.7707,0.7496,-0.7416,-0.0326,0.7552,-0.6962,-0.0388,0,0.0006
1783579668.8494,0,-17.1236,-7.2292,-4.9970,0.6646,-0.6893,-0.0229,0.6905,-0.6700,-0.0037,0,0.0078
1783579668.8495,3,-17.0162,-7.3412,-4.1946,0.7369,-0.7242,-0.0201,0.7401,-0.6754,-0.0111,0,0.0176
1783579668.8534,1,-17.2209,-7.1261,-3.9991,0.7004,-0.7021,-0.0301,0.7158,-0.6488,-0.0215,0,0.0175
1783579668.8534,2,-17.1967,-7.4520,-3.9083,0.7281,-0.7573,0.0349,0.7386,-0.6886,0.0343,0,0.0082
1783579668.8535,4,-17.2983,-7.0218,-3.7703,0.7501,-0.7408,-0.0328,0.7552,-0.6962,-0.0388,0,0.0086
1783579668.8573,0,-17.1188,-7.2348,-4.9974,0.6649,-0.6890,-0.0219,0.6905,-0.6700,-0.0037,0,0.0158
1783579668.8575,3,-17.0104,-7.3473,-4.1949,0.7373,-0.7237,-0.0197,0.7403,-0.6727,-0.0103,0,0.0058
1783579668.8614,2,-17.1908,-7.4586,-3.9080,0.7286,-0.7566,0.0350,0.7386,-0.6886,0.0343,0,0.0163
1783579668.8615,4,-17.2920,-7.0276,-3.7699,0.7506,-0.7401,-0.0331,0.7552,-0.6962,-0.0388,0,0.0165
1783579668.8616,1,-17.2149,-7.1315,-3.9993,0.7011,-0.7012,-0.0298,0.7167,-0.6459,-0.0208,0,0.0060
1783579668.8653,0,-17.1139,-7.2403,-4.9977,0.6653,-0.6887,-0.0208,0.6916,-0.6682,-0.0026,0,0.0039
1783579668.8654,3,-17.0047,-7.3535,-4.1952,0.7377,-0.7232,-0.0194,0.7403,-0.6727,-0.0103,0,0.0137
1783579668.8694,1,-17.2090,-7.1368,-3.9996,0.7018,-0.7003,-0.0294,0.7167,-0.6459,-0.0208,0,0.0139
1783579668.8695,2,-17.1850,-7.4653,-3.9077,0.7291,-0.7559,0.0352,0.7390,-0.6849,0.0333,0,0.0045
1783579668.8695,4,-17.2856,-7.0334,-3.7696,0.7512,-0.7393,-0.0334,0.7553,-0.6932,-0.0400,0,0.0047
1783579668.8734,0,-17.1091,-7.2459,-4.9980,0.6657,-0.6885,-0.0198,0.6916,-0.6682,-0.0026,0,0.0120
1783579668.8735,3,-16.9989,-7.3596,-4.1954,0.7381,-0.7226,-0.0190,0.7420,-0.6720,-0.0098,0,0.0019
1783579668.8773,2,-17.1792,-7.4719,-3.9073,0.7295,-0.7551,0.0354,0.7390,-0.6849,0.0333,0,0.0123
