t_wall,drone,x,y,z,vx,vy,vz,vcmd_x,vcmd_y,vcmd_z,cmd_is_pos,cmd_age_s
1783579594.4962,2,-0.0552,-0.1553,-0.1304,-0.0092,0.0836,-1.0167,nan,nan,nan,0,1783579594.4962
1783579594.5001,3,0.1404,-0.1006,-0.4219,0.0333,0.1102,-1.0732,0.0014,0.0809,-1.5000,0,0.0083
1783579594.5002,0,-0.0208,-0.0516,-1.2423,0.0557,0.0704,-0.9874,0.0376,0.0519,-1.5000,0,0.0174
1783579594.5041,1,-0.0442,0.1960,-0.2547,-0.0420,0.1019,-1.0281,-0.0576,0.0599,-1.5000,0,0.0084
1783579594.5041,2,-0.0560,-0.1545,-0.1387,-0.0099,0.0849,-1.0182,nan,nan,nan,0,1783579594.5041
1783579594.5042,4,-0.1459,0.2165,-0.0773,0.0571,0.0574,-1.0305,0.0227,0.0360,-1.5000,0,0.0183
1783579594.5083,0,-0.0205,-0.0509,-1.2500,0.0554,0.0718,-0.9900,0.0368,0.0536,-1.5000,0,0.0059
1783579594.5083,3,0.1417,-0.0993,-0.4315,0.0333,0.1115,-1.0742,0.0014,0.0809,-1.5000,0,0.0166
1783579594.5124,1,-0.0441,0.1970,-0.2626,-0.0417,0.1029,-1.0297,-0.0576,0.0599,-1.5000,0,0.0167
1783579594.5125,2,-0.0568,-0.1538,-0.1470,-0.0106,0.0860,-1.0197,nan,nan,nan,0,1783579594.5125
1783579594.5125,4,-0.1450,0.2169,-0.0851,0.0569,0.0578,-1.0331,0.0219,0.0366,-1.5000,0,0.0071
1783579594.5161,0,-0.0202,-0.0502,-1.2576,0.0551,0.0731,-0.9925,0.0368,0.0536,-1.5000,0,0.0138
1783579594.5163,3,0.1429,-0.0981,-0.4411,0.0334,0.1129,-1.0753,0.0002,0.0828,-1.5000,0,0.0041
1783579594.5203,1,-0.0441,0.1980,-0.2704,-0.0413,0.1037,-1.0312,-0.0569,0.0611,-1.5000,0,0.0046
1783579594.5204,2,-0.0576,-0.1530,-0.1554,-0.0112,0.0872,-1.0211,nan,nan,nan,0,1783579594.5204
1783579594.5204,4,-0.1441,0.2172,-0.0929,0.0568,0.0583,-1.0356,0.0219,0.0366,-1.5000,0,0.0150
