t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d5_x,d5_y,d5_z,d5_zerr,d5_velxy,d5_arm,d5_nav,d5_mpc,d5_solve_ms,d5_fallback,d5_hover,d5_poserr,d6_x,d6_y,d6_z,d6_zerr,d6_velxy,d6_arm,d6_nav,d6_mpc,d6_solve_ms,d6_fallback,d6_hover,d6_poserr,d7_x,d7_y,d7_z,d7_zerr,d7_velxy,d7_arm,d7_nav,d7_mpc,d7_solve_ms,d7_fallback,d7_hover,d7_poserr,d8_x,d8_y,d8_z,d8_zerr,d8_velxy,d8_arm,d8_nav,d8_mpc,d8_solve_ms,d8_fallback,d8_hover,d8_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,0.229,0.396,0.545,5.545,0.011,1,4,-1,0.000,0,0,0.000,0.269,2.996,0.124,5.124,0.019,1,4,-1,0.000,0,0,0.000,-0.081,-3.092,-0.287,4.713,0.002,1,4,-1,0.000,0,0,0.000,3.061,-0.021,-0.206,4.794,0.013,1,4,-1,0.000,0,0,0.000,-3.370,0.170,-1.076,3.924,0.057,1,4,-1,0.000,0,0,0.000,2.696,3.043,-0.547,4.453,0.023,1,4,-1,0.000,0,0,0.000,-2.827,2.920,0.311,5.311,0.023,1,4,-1,0.000,0,0,0.000,3.041,-2.900,-0.655,4.345,0.013,1,4,-1,0.000,0,0,0.000,-2.881,-2.999,-0.356,4.644,0.016,1,4,-1,0.000,0,0,0.000,2.519,0.458,0,0,0.000,0.000,0.000,0.000,0.000
2.0,0.277,0.405,0.552,5.552,0.010,1,14,-1,0.000,0,0,0.000,0.258,3.030,0.095,5.095,0.005,1,14,-1,0.000,0,0,0.000,-0.121,-3.122,-0.331,4.669,0.016,1,14,-1,0.000,0,0,0.000,3.107,-0.040,-0.193,4.807,0.026,1,14,-1,0.000,0,0,0.000,-3.343,0.210,-1.061,3.939,0.051,1,14,-1,0.000,0,0,0.000,2.717,3.043,-0.498,4.502,0.018,1,14,-1,0.000,0,0,0.000,-2.837,2.912,0.299,5.299,0.016,1,14,-1,0.000,0,0,0.000,3.091,-2.901,-0.659,4.341,0.029,1,14,-1,0.000,0,0,0.000,-2.913,-2.979,-0.376,4.624,0.015,1,14,-1,0.000,0,0,0.000,2.529,0.491,0,0,0.000,0.000,0.000,0.000,0.000
3.0,0.313,0.402,0.597,5.597,0.015,1,14,-1,0.000,0,0,0.000,0.238,2.992,0.072,5.072,0.020,1,14,-1,0.000,0,0,0.000,-0.118,-3.135,-0.354,4.646,0.017,1,14,-1,0.000,0,0,0.000,3.151,-0.056,-0.157,4.843,0.041,1,14,-1,0.000,0,0,0.000,-3.282,0.191,-1.080,3.920,0.026,1,14,-1,0.000,0,0,0.000,2.739,3.026,-0.481,4.519,0.021,1,14,-1,0.000,0,0,0.000,-2.838,2.875,0.360,5.360,0.027,1,14,-1,0.000,0,0,0.000,3.080,-2.907,-0.619,4.381,0.017,1,14,-1,0.000,0,0,0.000,-2.900,-2.926,-0.396,4.604,0.012,1,14,-1,0.000,0,0,0.000,2.562,0.510,0,0,0.000,0.000,0.000,0.000,0.000
4.0,0.312,0.417,0.621,5.621,0.015,1,14,-1,0.000,0,0,0.000,0.283,2.999,0.094,5.094,0.018,1,14,-1,0.000,0,0,0.000,-0.132,-3.170,-0.379,4.621,0.026,1,14,-1,0.000,0,0,0.000,3.142,-0.002,-0.194,4.806,0.027,1,14,-1,0.000,0,0,0.000,-3.254,0.172,-1.121,3.879,0.016,1,14,-1,0.000,0,0,0.000,2.702,3.027,-0.469,4.531,0.026,1,14,-1,0.000,0,0,0.000,-2.934,2.891,0.431,5.431,0.028,1,14,-1,0.000,0,0,0.000,3.072,-2.887,-0.629,4.371,0.011,1,14,-1,0.000,0,0,0.000,-2.865,-2.920,-0.377,4.623,0.010,1,14,-1,0.000,0,0,0.000,2.484,0.521,0,0,0.000,0.000,0.000,0.000,0.000
5.0,0.291,0.419,0.639,5.639,0.013,1,14,-1,0.000,0,0,0.000,0.342,3.001,0.091,5.091,0.029,1,14,-1,0.000,0,0,0.000,-0.134,-3.159,-0.367,4.633,0.021,1,14,-1,0.000,0,0,0.000,3.123,0.005,-0.234,4.766,0.016,1,14,-1,0.000,0,0,0.000,-3.231,0.173,-1.102,3.898,0.019,1,14,-1,0.000,0,0,0.000,2.689,3.014,-0.456,4.544,0.027,1,14,-1,0.000,0,0,0.000,-2.978,2.903,0.404,5.404,0.035,1,14,-1,0.000,0,0,0.000,3.089,-2.876,-0.718,4.282,0.018,1,14,-1,0.000,0,0,0.000,-2.869,-2.901,-0.352,4.648,0.017,2,4,-1,0.000,0,0,0.000,2.409,0.510,0,0,0.000,0.000,0.000,0.000,0.000
6.0,0.265,0.406,0.589,5.589,0.011,1,14,-1,0.000,0,0,0.000,0.314,3.005,0.052,5.052,0.014,1,14,-1,0.000,0,0,0.000,-0.120,-3.163,-0.315,4.685,0.018,1,14,-1,0.000,0,0,0.000,3.151,0.013,-0.246,4.754,0.024,1,14,-1,0.000,0,0,0.000,-3.240,0.175,-1.133,3.867,0.012,1,14,-1,0.000,0,0,0.000,2.645,3.060,-0.544,4.456,0.036,1,14,-1,0.000,0,0,0.000,-2.990,2.913,0.374,5.374,0.033,1,14,-1,0.000,0,0,0.000,3.046,-2.872,-0.769,4.231,0.011,1,14,-1,0.000,0,0,0.000,-2.853,-2.931,-0.396,4.604,0.003,2,14,-1,0.000,0,0,0.000,2.407,0.485,0,0,0.000,0.000,0.000,0.000,0.000
7.0,0.251,0.363,0.567,5.567,0.011,1,14,-1,0.000,0,0,0.000,0.240,3.031,0.035,5.035,0.008,1,14,-1,0.000,0,0,0.000,-0.109,-3.169,-0.295,4.705,0.021,1,14,-1,0.000,0,0,0.000,3.140,0.007,-0.293,4.707,0.016,1,14,-1,0.000,0,0,0.000,-3.219,0.169,-1.154,3.846,0.011,1,14,-1,0.000,0,0,0.000,2.655,3.093,-0.536,4.464,0.032,1,14,-1,0.000,0,0,0.000,-2.989,2.911,0.365,5.365,0.025,2,14,-1,0.000,0,0,0.000,3.035,-2.853,-0.805,4.195,0.014,2,14,-1,0.000,0,0,0.000,-2.856,-2.946,-0.421,4.579,0.003,2,4,-1,0.000,0,0,0.000,2.482,0.441,0,0,0.000,0.000,0.000,0.000,0.000
8.0,0.220,0.346,0.587,5.587,0.024,1,14,-1,0.000,0,0,0.000,0.233,3.046,0.018,5.018,0.009,1,14,-1,0.000,0,0,0.000,-0.107,-3.202,-0.304,4.696,0.034,1,14,-1,0.000,0,0,0.000,3.106,-0.028,-0.232,4.768,0.011,1,14,-1,0.000,0,0,0.000,-3.235,0.131,-1.202,3.798,0.005,1,14,-1,0.000,0,0,0.000,2.674,3.095,-0.524,4.476,0.026,1,14,-1,0.000,0,0,0.000,-2.966,2.929,0.330,5.330,0.012,2,14,0,0.491,0,0,0.127,3.042,-2.854,-0.824,4.176,0.009,2,14,-1,0.000,0,0,0.000,-2.848,-2.924,-0.425,4.575,0.008,2,4,0,0.490,0,0,0.047,2.501,0.410,0,0,0.491,0.000,0.000,0.000,0.000
9.0,0.275,0.370,0.588,5.588,0.005,1,14,-1,0.000,0,0,0.000,0.268,3.049,0.048,5.048,0.005,1,14,-1,0.000,0,0,0.000,-0.096,-3.199,-0.264,4.736,0.029,1,14,-1,0.000,0,0,0.000,3.112,-0.022,-0.342,4.658,0.006,1,14,-1,0.000,0,0,0.000,-3.191,0.107,-1.156,3.844,0.016,1,14,-1,0.000,0,0,0.000,2.683,3.130,-0.488,4.512,0.034,1,14,-1,0.000,0,0,0.000,-2.961,2.929,0.320,5.320,0.010,2,14,0,0.414,0,0,0.125,3.048,-2.836,-0.804,4.196,0.016,2,14,-1,0.000,0,0,0.000,-2.872,-2.915,-0.377,4.623,0.014,2,14,0,0.247,0,0,0.057,2.476,0.461,0,0,0.414,0.000,0.000,0.000,0.000
10.0,0.287,0.386,0.582,5.582,0.012,1,14,-1,0.000,0,0,0.000,0.278,3.058,0.118,5.118,0.009,1,14,-1,0.000,0,0,0.000,-0.066,-3.177,-0.288,4.712,0.024,1,14,-1,0.000,0,0,0.000,3.103,-0.055,-0.361,4.639,0.022,1,14,-1,0.000,0,0,0.000,-3.203,0.108,-1.132,3.868,0.013,1,14,-1,0.000,0,0,0.000,2.690,3.098,-0.496,4.504,0.017,2,4,-1,0.000,0,0,0.000,-2.900,2.946,0.328,5.328,0.022,2,14,0,0.247,0,0,0.069,3.064,-2.822,-0.767,4.233,0.021,2,4,0,0.332,0,0,0.078,-2.873,-2.905,-0.355,4.645,0.016,2,14,0,0.264,0,0,0.058,2.490,0.481,0,0,0.332,0.000,0.000,0.000,0.000
