t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d5_x,d5_y,d5_z,d5_zerr,d5_velxy,d5_arm,d5_nav,d5_mpc,d5_solve_ms,d5_fallback,d5_hover,d5_poserr,d6_x,d6_y,d6_z,d6_zerr,d6_velxy,d6_arm,d6_nav,d6_mpc,d6_solve_ms,d6_fallback,d6_hover,d6_poserr,d7_x,d7_y,d7_z,d7_zerr,d7_velxy,d7_arm,d7_nav,d7_mpc,d7_solve_ms,d7_fallback,d7_hover,d7_poserr,d8_x,d8_y,d8_z,d8_zerr,d8_velxy,d8_arm,d8_nav,d8_mpc,d8_solve_ms,d8_fallback,d8_hover,d8_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.034,0.049,-5.010,-0.010,0.160,2,14,0,0.222,0,0,0.291,-0.201,2.947,-4.902,0.098,0.235,2,14,0,0.397,0,0,0.124,-0.075,-3.055,-4.973,0.027,0.152,2,14,0,0.337,0,0,0.027,2.603,0.209,-4.976,0.024,0.124,2,14,0,0.339,0,0,0.135,-3.064,0.295,-5.029,-0.029,0.114,2,14,0,0.164,0,0,0.238,3.137,3.018,-5.710,-0.710,0.060,0,0,0,0.182,0,0,0.108,-3.180,3.219,-4.982,0.018,0.139,2,14,0,0.164,0,0,0.073,3.023,-3.193,-5.043,-0.043,0.064,2,14,0,1.085,0,0,0.081,nan,nan,nan,nan,nan,0,0,0,0.202,0,0,0.043,2.642,nan,0,0,1.085,0.000,0.000,0.000,0.000
2.0,0.068,-0.140,-5.021,-0.021,0.312,2,14,0,0.198,0,0,0.178,-0.041,2.863,-5.018,-0.018,0.213,2,14,0,0.215,0,0,0.075,-0.132,-3.123,-5.007,-0.007,0.067,2,14,0,0.152,0,0,0.106,2.626,0.274,-4.995,0.005,0.066,2,14,0,0.185,0,0,0.152,-2.984,0.244,-4.953,0.047,0.190,2,14,0,0.183,0,0,0.158,3.001,3.027,-5.790,-0.790,0.102,2,14,0,0.475,0,0,0.032,-3.124,3.174,-4.966,0.034,0.006,2,14,0,0.191,0,0,0.142,3.068,-3.133,-4.988,0.012,0.083,2,14,0,0.323,0,0,0.025,-3.228,-3.032,-5.003,-0.003,0.082,0,0,0,0.621,0,0,0.036,2.592,0.463,0,0,0.621,0.000,0.000,0.000,0.000
3.0,0.357,-0.298,-5.043,-0.043,0.248,2,14,0,0.228,0,0,0.259,0.035,2.868,-5.036,-0.036,0.056,2,14,0,0.292,0,0,0.130,-0.172,-3.072,-5.017,-0.017,0.065,2,14,0,0.192,0,0,0.100,2.762,0.243,-5.005,-0.005,0.158,2,14,0,0.400,0,0,0.086,-2.843,0.180,-5.044,-0.044,0.245,2,14,0,0.310,0,0,0.082,2.963,3.030,-5.832,-0.832,0.030,2,14,0,0.341,0,0,0.069,-3.172,3.225,-5.020,-0.020,0.130,2,14,0,0.192,0,0,0.083,3.056,-3.104,-5.028,-0.028,0.061,2,14,0,0.144,0,0,0.014,-3.303,-3.075,-5.009,-0.009,0.047,2,14,0,0.194,0,0,0.108,2.465,0.465,0,0,0.400,0.000,0.000,0.000,0.000
4.0,0.518,-0.134,-5.071,-0.071,0.201,2,14,0,0.212,0,0,0.293,0.024,2.909,-5.011,-0.011,0.105,2,14,0,0.672,0,0,0.108,-0.135,-3.009,-4.990,0.010,0.108,2,14,0,0.157,0,0,0.058,2.793,0.090,-4.939,0.061,0.119,2,14,0,0.452,0,0,0.095,-2.588,0.164,-5.023,-0.023,0.133,2,14,0,0.229,0,0,0.258,2.944,3.022,-5.762,-0.762,0.071,2,14,0,0.173,0,0,0.087,-3.274,3.271,-5.021,-0.021,0.113,2,14,0,0.170,0,0,0.039,3.082,-3.010,-5.022,-0.022,0.011,2,14,0,0.162,0,0,0.111,-3.255,-3.146,-4.960,0.040,0.096,2,14,0,0.146,0,0,0.110,2.289,0.535,0,0,0.672,0.000,0.000,0.000,0.000
5.0,0.395,0.051,-5.048,-0.048,0.305,2,14,0,0.187,0,0,0.204,-0.134,2.945,-4.992,0.008,0.142,2,14,0,0.145,0,0,0.055,-0.007,-3.003,-4.954,0.046,0.108,2,14,0,0.283,0,0,0.077,2.752,0.017,-4.993,0.007,0.036,2,14,0,0.181,0,0,0.148,-2.639,0.272,-5.014,-0.014,0.217,2,14,0,0.188,0,0,0.191,3.077,3.031,-5.797,-0.797,0.091,2,14,0,0.174,0,0,0.050,-3.374,3.254,-5.030,-0.030,0.042,2,14,0,0.193,0,0,0.122,3.071,-3.080,-5.000,0.000,0.112,2,14,0,0.188,0,0,0.045,-3.175,-3.122,-5.018,-0.018,0.132,2,14,0,0.193,0,0,0.074,2.358,0.452,0,0,0.283,0.000,0.000,0.000,0.000
6.0,0.109,0.079,-4.944,0.056,0.266,2,14,0,0.225,0,0,0.192,-0.131,2.951,-5.017,-0.017,0.021,2,14,0,0.182,0,0,0.055,0.003,-3.025,-4.988,0.012,0.027,2,14,0,0.186,0,0,0.086,2.744,0.159,-4.980,0.020,0.154,2,14,0,0.401,0,0,0.016,-2.879,0.417,-4.928,0.072,0.245,2,14,0,0.283,0,0,0.161,3.079,3.005,-5.798,-0.798,0.035,2,14,0,0.204,0,0,0.049,-3.355,3.213,-5.024,-0.024,0.112,2,14,0,0.170,0,0,0.109,3.050,-3.216,-5.004,-0.004,0.072,2,14,0,0.177,0,0,0.098,-3.124,-3.046,-5.018,-0.018,0.125,2,14,0,0.200,0,0,0.073,2.637,0.434,0,0,0.401,0.000,0.000,0.000,0.000
7.0,-0.050,-0.050,-4.999,0.001,0.144,2,14,0,0.474,0,0,0.283,-0.086,2.975,-4.982,0.018,0.023,2,14,0,0.146,0,0,0.047,-0.059,-3.040,-4.979,0.021,0.067,2,14,0,0.145,0,0,0.025,2.695,0.288,-5.004,-0.004,0.065,2,14,0,0.476,0,0,0.130,-3.008,0.361,-4.980,0.020,0.148,2,14,0,0.197,0,0,0.207,3.087,2.986,-5.732,-0.732,0.047,2,14,0,0.164,0,0,0.063,-3.213,3.208,-5.003,-0.003,0.132,2,14,0,0.160,0,0,0.048,3.089,-3.238,-4.975,0.025,0.066,2,14,0,0.201,0,0,0.127,-3.094,-2.927,-5.026,-0.026,0.080,2,14,0,0.162,0,0,0.162,2.766,0.420,0,0,0.476,0.000,0.000,0.000,0.000
8.0,0.103,-0.189,-4.980,0.020,0.269,2,14,0,0.188,0,0,0.176,-0.110,2.963,-4.977,0.023,0.054,2,14,0,0.223,0,0,0.045,-0.103,-3.040,-4.988,0.012,0.067,2,14,0,0.185,0,0,0.025,2.680,0.272,-4.975,0.025,0.092,2,14,0,0.329,0,0,0.120,-2.994,0.199,-5.049,-0.049,0.185,2,14,0,0.212,0,0,0.178,3.013,2.930,-5.726,-0.726,0.067,2,14,0,0.154,0,0,0.082,-3.146,3.236,-5.049,-0.049,0.051,2,14,0,0.221,0,0,0.105,3.072,-3.128,-4.983,0.017,0.148,2,14,0,0.390,0,0,0.025,-3.154,-2.923,-4.919,0.081,0.155,2,14,0,0.181,0,0,0.137,2.618,0.420,0,0,0.390,0.000,0.000,0.000,0.000
9.0,0.332,-0.238,-5.076,-0.076,0.248,2,14,0,0.179,0,0,0.195,-0.097,2.942,-4.988,0.012,0.087,2,14,0,0.220,0,0,0.023,-0.159,-2.998,-5.014,-0.014,0.019,2,14,0,0.155,0,0,0.083,2.708,0.165,-4.967,0.033,0.149,2,14,0,0.219,0,0,0.024,-2.841,0.135,-4.993,0.007,0.216,2,14,0,0.460,0,0,0.127,2.933,2.989,-5.689,-0.689,0.099,2,14,0,0.191,0,0,0.099,-3.173,3.291,-5.000,-0.000,0.082,2,14,0,0.195,0,0,0.096,3.014,-2.995,-4.999,0.001,0.066,2,14,0,0.178,0,0,0.127,-3.276,-3.040,-5.003,-0.003,0.192,2,14,0,1.345,0,0,0.079,2.412,0.408,0,0,1.345,0.000,0.000,0.000,0.000
10.0,0.498,-0.094,-5.005,-0.005,0.186,2,14,0,0.242,0,0,0.267,-0.009,2.873,-4.972,0.028,0.045,2,14,0,0.149,0,0,0.090,-0.153,-3.007,-5.031,-0.031,0.058,2,14,0,0.193,0,0,0.075,2.823,0.074,-5.008,-0.008,0.079,2,14,0,0.254,0,0,0.129,-2.633,0.184,-4.981,0.019,0.161,2,14,0,0.401,0,0,0.209,3.045,3.056,-5.767,-0.767,0.119,2,14,0,0.190,0,0,0.046,-3.248,3.323,-4.977,0.023,0.114,2,14,0,0.192,0,0,0.085,2.995,-3.025,-4.988,0.012,0.086,2,14,0,0.191,0,0,0.109,-3.356,-3.192,-5.040,-0.040,0.085,2,14,0,0.179,0,0,0.211,2.331,0.507,0,0,0.401,0.000,0.000,0.000,0.000
