t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d5_x,d5_y,d5_z,d5_zerr,d5_velxy,d5_arm,d5_nav,d5_mpc,d5_solve_ms,d5_fallback,d5_hover,d5_poserr,d6_x,d6_y,d6_z,d6_zerr,d6_velxy,d6_arm,d6_nav,d6_mpc,d6_solve_ms,d6_fallback,d6_hover,d6_poserr,d7_x,d7_y,d7_z,d7_zerr,d7_velxy,d7_arm,d7_nav,d7_mpc,d7_solve_ms,d7_fallback,d7_hover,d7_poserr,d8_x,d8_y,d8_z,d8_zerr,d8_velxy,d8_arm,d8_nav,d8_mpc,d8_solve_ms,d8_fallback,d8_hover,d8_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,0.413,0.219,-4.929,0.071,0.063,2,14,-1,0.000,0,0,0.000,-0.296,2.871,-4.806,0.194,0.198,2,14,0,0.176,0,0,0.168,-0.437,-2.965,-4.844,0.156,0.117,0,0,0,0.176,0,0,0.088,2.681,0.033,-5.520,-0.520,0.133,2,14,0,0.356,0,0,0.087,-2.954,0.059,-5.349,-0.349,0.066,2,14,0,0.222,0,0,0.171,2.654,2.913,-4.130,0.870,0.111,2,14,0,0.184,0,0,0.163,-3.342,2.846,-5.604,-0.604,0.107,0,0,0,0.232,0,0,0.125,2.418,-3.149,-4.128,0.872,0.058,2,14,0,0.548,0,0,0.082,-3.265,-3.025,-5.441,-0.441,0.146,2,14,0,0.206,0,0,0.114,2.352,0.601,0,0,0.548,0.000,0.000,0.000,0.000
2.0,0.289,0.303,-5.058,-0.058,0.144,2,14,0,0.220,0,0,0.087,-0.549,2.980,-4.781,0.219,0.222,2,14,0,0.294,0,0,0.117,-0.407,-2.930,-4.836,0.164,0.072,2,14,0,0.230,0,0,0.089,2.568,0.003,-5.531,-0.531,0.073,2,14,0,0.185,0,0,0.162,-2.908,0.007,-5.310,-0.310,0.127,2,14,0,0.191,0,0,0.104,2.625,2.983,-4.142,0.858,0.111,2,14,0,0.175,0,0,0.122,-3.302,2.949,-5.578,-0.578,0.164,2,14,0,0.160,0,0,0.071,2.359,-3.119,-4.046,0.954,0.082,2,14,0,0.182,0,0,0.026,-3.199,-2.914,-5.488,-0.488,0.149,2,14,0,0.185,0,0,0.093,2.346,0.652,0,0,0.294,0.000,0.000,0.000,0.000
3.0,0.212,0.273,-5.052,-0.052,0.106,2,14,0,0.189,0,0,0.077,-0.641,2.997,-4.831,0.169,0.046,2,14,0,0.209,0,0,0.205,-0.465,-2.861,-4.829,0.171,0.086,2,14,0,0.209,0,0,0.037,2.640,-0.128,-5.439,-0.439,0.162,2,14,0,0.174,0,0,0.116,-2.837,-0.135,-5.297,-0.297,0.140,2,14,0,0.161,0,0,0.073,2.607,3.145,-4.078,0.922,0.147,2,14,0,0.185,0,0,0.133,-3.156,3.016,-5.596,-0.596,0.132,2,14,0,0.432,0,0,0.129,2.263,-3.103,-4.102,0.898,0.048,2,14,0,0.153,0,0,0.080,-3.216,-2.825,-5.543,-0.543,0.096,2,14,0,0.267,0,0,0.120,2.491,0.744,0,0,0.432,0.000,0.000,0.000,0.000
4.0,0.109,0.177,-4.975,0.025,0.096,2,14,0,0.185,0,0,0.163,-0.504,2.886,-4.836,0.164,0.210,2,14,0,0.184,0,0,0.056,-0.569,-2.822,-4.842,0.158,0.056,2,14,0,0.175,0,0,0.108,2.805,-0.108,-5.456,-0.456,0.126,2,14,0,0.176,0,0,0.103,-2.791,-0.183,-5.287,-0.287,0.071,2,14,0,0.186,0,0,0.126,2.776,3.187,-4.188,0.812,0.145,2,14,0,0.271,0,0,0.136,-3.102,2.965,-5.653,-0.653,0.094,2,14,0,0.209,0,0,0.146,2.260,-3.098,-4.060,0.940,0.058,2,14,0,0.155,0,0,0.086,-3.295,-2.807,-5.499,-0.499,0.123,2,14,0,0.191,0,0,0.110,2.681,0.747,0,0,0.271,0.000,0.000,0.000,0.000
5.0,0.218,0.125,-4.962,0.038,0.171,2,14,0,0.269,0,0,0.107,-0.334,2.854,-4.891,0.109,0.109,2,14,0,0.148,0,0,0.133,-0.593,-2.884,-4.772,0.228,0.101,2,14,0,0.247,0,0,0.108,2.889,-0.037,-5.412,-0.412,0.085,2,14,0,0.181,0,0,0.166,-2.761,-0.106,-5.351,-0.351,0.135,2,14,0,0.169,0,0,0.083,2.811,3.067,-4.102,0.898,0.119,2,14,0,0.190,0,0,0.098,-3.212,2.898,-5.645,-0.645,0.164,2,14,0,0.189,0,0,0.034,2.353,-3.165,-4.026,0.974,0.102,2,14,0,0.286,0,0,0.034,-3.430,-2.874,-5.502,-0.502,0.132,2,14,0,0.188,0,0,0.143,2.714,0.667,0,0,0.286,0.000,0.000,0.000,0.000
6.0,0.364,0.191,-4.958,0.042,0.146,2,14,0,0.190,0,0,0.104,-0.327,2.906,-4.843,0.157,0.071,2,14,0,0.185,0,0,0.128,-0.487,-2.939,-4.825,0.175,0.125,2,14,0,0.220,0,0,0.058,2.733,0.006,-5.479,-0.479,0.173,2,14,0,0.272,0,0,0.044,-2.774,0.020,-5.378,-0.378,0.107,2,14,0,0.200,0,0,0.089,2.784,2.959,-4.068,0.932,0.094,2,14,0,0.190,0,0,0.135,-3.349,2.873,-5.573,-0.573,0.085,2,14,0,0.160,0,0,0.121,2.459,-3.184,-4.068,0.932,0.018,2,14,0,0.180,0,0,0.135,-3.390,-2.939,-5.549,-0.549,0.134,2,14,0,0.188,0,0,0.103,2.433,0.575,0,0,0.272,-0.000,0.012,-0.000,0.048
7.0,0.482,0.276,-4.939,0.061,0.145,2,14,0,0.346,0,0,0.222,-0.556,2.942,-4.798,0.202,0.152,2,14,0,0.223,0,0,0.124,-0.388,-2.897,-4.858,0.142,0.096,2,14,0,0.173,0,0,0.150,2.619,0.059,-5.553,-0.553,0.073,2,14,0,0.202,0,0,0.103,-2.913,0.060,-5.382,-0.382,0.087,2,14,0,0.217,0,0,0.078,2.692,2.969,-4.130,0.870,0.190,2,14,0,0.651,0,0,0.207,-3.390,2.923,-5.599,-0.599,0.131,2,14,0,0.183,0,0,0.181,2.430,-3.105,-4.099,0.901,0.166,2,14,0,0.176,0,0,0.122,-3.293,-3.006,-5.507,-0.507,0.135,2,14,0,0.511,0,0,0.198,2.234,0.609,0,0,0.651,-0.001,0.110,-0.002,0.148
8.0,0.334,0.469,-5.042,-0.042,0.329,2,14,0,0.242,0,0,0.089,-0.517,3.079,-4.782,0.218,0.262,2,14,0,0.179,0,0,0.152,-0.415,-2.701,-4.851,0.149,0.274,2,14,0,0.410,0,0,0.138,2.580,0.116,-5.514,-0.514,0.178,2,14,0,0.511,0,0,0.198,-2.948,0.079,-5.380,-0.380,0.174,2,14,0,0.180,0,0,0.200,2.597,3.220,-4.117,0.883,0.384,2,14,0,0.186,0,0,0.190,-3.184,3.093,-5.618,-0.618,0.328,2,14,0,0.179,0,0,0.145,2.258,-2.904,-4.136,0.864,0.285,2,14,0,0.178,0,0,0.105,-3.192,-2.862,-5.487,-0.487,0.357,2,14,0,0.304,0,0,0.275,2.322,0.767,0,0,0.511,-0.005,0.307,-0.008,0.248
9.0,0.151,0.785,-4.995,0.005,0.374,2,14,0,0.202,0,0,0.103,-0.399,3.410,-4.764,0.236,0.420,2,14,0,0.179,0,0,0.132,-0.403,-2.308,-4.838,0.162,0.429,2,14,0,0.156,0,0,0.105,2.676,0.419,-5.458,-0.458,0.429,2,14,0,0.223,0,0,0.142,-2.733,0.393,-5.319,-0.319,0.420,2,14,0,0.175,0,0,0.188,2.701,3.670,-4.136,0.864,0.481,2,14,0,0.192,0,0,0.006,-3.038,3.417,-5.568,-0.568,0.415,2,14,0,0.190,0,0,0.246,2.187,-2.618,-4.132,0.868,0.388,2,14,0,0.187,0,0,0.159,-3.211,-2.403,-5.520,-0.520,0.591,2,14,0,0.179,0,0,0.143,2.593,0.825,0,0,0.223,-0.018,0.605,-0.021,0.347
10.0,0.052,1.185,-5.065,-0.065,0.418,2,14,0,0.190,0,0,0.168,-0.447,3.903,-4.795,0.205,0.532,2,14,0,0.161,0,0,0.059,-0.591,-1.898,-4.840,0.160,0.471,2,14,0,0.185,0,0,0.053,2.859,0.840,-5.459,-0.459,0.532,2,14,0,0.186,0,0,0.219,-2.702,0.869,-5.379,-0.379,0.588,2,14,0,0.174,0,0,0.195,2.675,4.095,-4.088,0.912,0.476,2,14,0,0.163,0,0,0.030,-3.202,3.851,-5.610,-0.610,0.561,2,14,0,0.207,0,0,0.114,2.273,-2.158,-4.062,0.938,0.507,2,14,0,0.548,0,0,0.027,-3.329,-1.812,-5.461,-0.461,0.585,2,14,0,0.184,0,0,0.104,2.755,0.696,0,0,0.548,-0.050,1.002,-0.045,0.446
